"","Aphanopetalum_resinosum","Cercidiphyllum_japonicum","Cotyledon_tomentosa","Cynomorium_songaricum","Daphniphyllum_calycinum","Itea_omeiensis","Kalanchoe_fedtschenkoi","Paeonia_anomala_subsp_Veitchii","Paeonia_delavayi","Penthorum_chinense","Ribes_takare","Vitis_vinifera","12|34","13|24","14|23","p_T3","p_star"
"1",1,1,1,1,0,0,0,0,0,0,0,0,23,201,15,0.192696200568316,5.27359130830173e-61
"2",1,1,1,0,1,0,0,0,0,0,0,0,5,246,5,1,2.93591146818728e-99
"3",1,1,1,0,0,1,0,0,0,0,0,0,22,268,23,0.881492610722259,2.35853904870518e-84
"4",1,1,1,0,0,0,1,0,0,0,0,0,213,8,5,0.403258825860012,1.10471595207667e-82
"5",1,1,1,0,0,0,0,1,0,0,0,0,13,316,13,1,2.59889787064069e-117
"6",1,1,1,0,0,0,0,0,1,0,0,0,11,325,6,0.221818972302962,5.89881540748512e-128
"7",1,1,1,0,0,0,0,0,0,1,0,0,11,12,272,0.834801667179258,1.24759932387559e-100
"8",1,1,1,0,0,0,0,0,0,0,1,0,21,285,23,0.762984991483876,4.89683184554586e-92
"9",1,1,1,0,0,0,0,0,0,0,0,1,30,334,19,0.114530649956055,1.89598517142939e-109
"10",1,1,0,1,1,0,0,0,0,0,0,0,15,246,18,0.601257024136562,1.00554130917956e-82
"11",1,1,0,1,0,1,0,0,0,0,0,0,56,104,168,0.000131217411121766,2.87357652079839e-13
"12",1,1,0,1,0,0,1,0,0,0,0,0,22,15,193,0.248388627206651,2.71220370741568e-58
"13",1,1,0,1,0,0,0,1,0,0,0,0,48,259,42,0.526936004273256,9.50617059736501e-58
"14",1,1,0,1,0,0,0,0,1,0,0,0,45,271,33,0.173375553744608,7.71244327450339e-68
"15",1,1,0,1,0,0,0,0,0,1,0,0,3,8,288,0.124619045841523,1.13499317778379e-116
"16",1,1,0,1,0,0,0,0,0,0,1,0,49,113,176,3.43773406072239e-07,2.86171375240522e-16
"17",1,1,0,1,0,0,0,0,0,0,0,1,124,186,87,0.0106553821511047,6.13460651089243e-09
"18",1,1,0,0,1,1,0,0,0,0,0,0,12,14,350,0.694743411844095,6.60641261627143e-132
"19",1,1,0,0,1,0,1,0,0,0,0,0,3,5,257,0.523,1.24199354128315e-105
"20",1,1,0,0,1,0,0,1,0,0,0,0,48,108,235,1.13610921075398e-06,4.19480276745726e-31
"21",1,1,0,0,1,0,0,0,1,0,0,0,45,117,227,8.54563918746172e-09,7.26591269305326e-29
"22",1,1,0,0,1,0,0,0,0,1,0,0,4,1,337,0.24,8.04827491210503e-143
"23",1,1,0,0,1,0,0,0,0,0,1,0,11,17,354,0.254992192065529,3.49995670990851e-132
"24",1,1,0,0,1,0,0,0,0,0,0,1,29,26,389,0.685756620704952,1.47152210202517e-128
"25",1,1,0,0,0,1,1,0,0,0,0,0,16,27,290,0.0916310212603274,7.2414254231431e-95
"26",1,1,0,0,0,1,0,1,0,0,0,0,18,420,46,0.000370734432897681,2.44825199890867e-136
"27",1,1,0,0,0,1,0,0,1,0,0,0,14,434,38,0.000692926810004832,7.24532578546435e-150
"28",1,1,0,0,0,1,0,0,0,1,0,0,7,5,407,0.562791464607376,2.11971349510646e-167
"29",1,1,0,0,0,1,0,0,0,0,1,0,439,21,21,1,1.74522841074801e-158
"30",1,1,0,0,0,1,0,0,0,0,0,1,62,368,121,1.07915598673342e-05,4.82033153939845e-63
"31",1,1,0,0,0,0,1,1,0,0,0,0,6,322,13,0.10415669179524,3.79392291566318e-125
"32",1,1,0,0,0,0,1,0,1,0,0,0,7,330,7,1,1.9333524775726e-132
"33",1,1,0,0,0,0,1,0,0,1,0,0,8,10,284,0.637004118349747,1.74705947866934e-109
"34",1,1,0,0,0,0,1,0,0,0,1,0,16,300,24,0.204372951379369,6.24438479860312e-101
"35",1,1,0,0,0,0,1,0,0,0,0,1,32,352,15,0.0121381821322603,2.02392961029329e-118
"36",1,1,0,0,0,0,0,1,1,0,0,0,504,14,2,0.00146345111154064,2.76528731616262e-206
"37",1,1,0,0,0,0,0,1,0,1,0,0,3,8,432,0.124619045841523,4.50796922809165e-179
"38",1,1,0,0,0,0,0,1,0,0,1,0,18,51,438,5.00234178677469e-05,6.85414200465698e-141
"39",1,1,0,0,0,0,0,1,0,0,0,1,50,78,457,0.0129581340492962,7.99933142887152e-116
"40",1,1,0,0,0,0,0,0,1,1,0,0,0,4,436,0.0393,1.18736478811227e-186
"41",1,1,0,0,0,0,0,0,1,0,1,0,13,45,441,1.54433262611895e-05,3.96602378161864e-149
"42",1,1,0,0,0,0,0,0,1,0,0,1,51,67,466,0.140160681120024,4.69377171445566e-124
"43",1,1,0,0,0,0,0,0,0,1,1,0,4,430,4,1,1.14631175135667e-180
"44",1,1,0,0,0,0,0,0,0,1,0,1,3,495,4,0.768,1.0193538008023e-209
"45",1,1,0,0,0,0,0,0,0,0,1,1,61,379,132,2.32424499136661e-07,3.43606551269947e-64
"46",1,0,1,1,1,0,0,0,0,0,0,0,183,15,18,0.601257024136562,1.76785192462278e-56
"47",1,0,1,1,0,1,0,0,0,0,0,0,202,19,25,0.364964902121413,5.65682184442621e-58
"48",1,0,1,1,0,0,1,0,0,0,0,0,4,160,4,1,1.2284067462654e-63
"49",1,0,1,1,0,0,0,1,0,0,0,0,213,15,30,0.0239675519100772,4.24746475734239e-62
"50",1,0,1,1,0,0,0,0,1,0,0,0,221,20,26,0.375664042220992,1.54166296614651e-64
"51",1,0,1,1,0,0,0,0,0,1,0,0,8,10,216,0.637004118349747,2.94056668071213e-80
"52",1,0,1,1,0,0,0,0,0,0,1,0,203,19,31,0.0881240879089397,2.67006031832277e-55
"53",1,0,1,1,0,0,0,0,0,0,0,1,244,25,29,0.586042111438298,2.273508963156e-69
"54",1,0,1,0,1,1,0,0,0,0,0,0,233,15,21,0.316179379818239,2.1241283467413e-75
